Fiscal Year,Library,Total Visits,Registered Borrowers,Adult Circulation,Juvenile Circulation,Young Adult Circulation,Miscellaneous Circulation,Physical Circulation,OverDrive (eBook) Circulation,Flipster (eMagazine) Circulation,Total Circulation (Physical & Electronic),Computer Usage,WiFi Users
2013,APPOQUIN,110810,15548,99056,78771,6651,1849,186327,6003,,192330,15867,1387
2013,BEAR,178045,49513,144189,111832,8034,1849,265904,5985,,271889,22709,4263
2013,BRANDYWINE,298102,38460,497343,309875,24127,7946,839291,20134,,859425,38268,5341
2013,BRIDGEVILL,49614,4434,40239,19825,3770,417,64251,1415,,65666,8924,811
2013,CLAYMONT,92274,7276,67511,25785,2972,939,97207,1359,,98566,13411,753
2013,CLAYWINDOW,,,,,,,,,,,,
2013,CORBIT,46928,3121,22753,30204,1438,907,55302,1674,,56976,2196,270
2013,DE_CITY,31154,2007,26045,9569,1004,1121,37739,473,,38212,4203,268
2013,DELMAR,50877,4419,37960,18321,3275,393,59949,891,,60840,9658,546
2013,DOVER,317834,34305,261495,147376,23679,2747,435297,11770,,447067,48708,6691
2013,ELSMERE,63588,6867,90217,30303,4081,2063,126664,2215,,128879,15556,877
2013,FRANKFORD,18624,1720,14633,9384,1039,196,25252,290,,25542,5807,260
2013,GEORGETOWN,74669,5321,38414,16507,2927,938,58786,1854,,60640,18721,1604
2013,GREENWOOD,39211,2932,43287,30593,2740,677,77297,647,,77944,5935,710
2013,HARRINGTON,43994,3528,27037,12115,1487,647,41286,1557,,42843,8424,391
2013,HOCKESSIN,177645,20138,267823,223158,18127,5596,514704,13068,,527772,17108,3294
2013,KENT_CO,129918,11159,117658,66268,5424,1654,191004,4403,,195407,18557,1973
2013,KENT BOOKMOBILE,11204,475,6392,4418,299,124,11233,156,,11389,,
2013,KIRKWOOD,227539,22736,295645,150267,14039,5000,464951,8782,,473733,43891,3239
2013,LAUREL,56259,6473,41272,29980,11015,711,82978,1463,,84441,10099,1190
2013,LEWES,144087,11284,133753,43694,4460,1171,183078,8913,,191991,11631,1332
2013,GARFIELD PARK,,686,6223,3440,357,137,10157,35,,10192,4320,901
2013,MILFORD,180230,12190,111367,40535,5287,1662,158851,5529,,164380,26250,1984
2013,MILLSBORO,28144,6844,64499,19380,2111,2175,88165,4112,,92277,8886,492
2013,MILTON,86011,5381,72294,25807,2840,795,101736,2173,,103909,15390,1234
2013,N_WILM,65622,5102,22176,1830,380,15723,40109,126,,40235,17249,736
2013,NCCO_ADMIN,,3,147,97,55,4,303,0,,303,,
2013,NEW_CASTLE,111370,9434,86640,42546,5472,2226,136884,3236,,140120,22031,1264
2013,NEWARK,362637,43203,463929,307791,31128,11150,813998,21626,,835624,47489,5621
2013,REHOBOTH,81484,8986,63540,18400,2020,1156,85116,5910,,91026,11104,1162
2013,S_COASTAL,127520,13051,143930,37679,7123,877,189609,8152,,197761,19902,1220
2013,SEAFORD,109439,10240,78113,27796,10465,641,117015,3615,,120630,26194,1937
2013,SELBYVILLE,42014,2905,27934,10272,979,172,39357,1770,,41127,4696,518
